kode;produsen;kategori;nama produk;ram;memori;Operating System;Chipset;CPU;GPU;kamera belakang;kamera depan;layar;baterai;harga;terjual;jumlah penilai;bintang;bintang 5;bintang 4;bintang 3;bintang 2;bintang 1;stok
1;Xiaomi;Mi;Xiaomi-Mi-10;8gb;256gb;MIUI 11;SnapdragonTM 865;KyroTM 585 2,84GHz;Adreno 650 ;108 + 13 + 2 + 2 MP;20 MP;6.67;4.780mAh;9.999.000;1,5rb;703;4.8;613;56;14;3;17;1
2;Xiaomi;POCO ;Xiaomi-POCO-X3-Pro;6gb;128gb;MIUI 12 ;Snapdragon 860;Kyro 485 2,96Ghz;Adreno 640;48 + 8 + 2 + 2 MP;20 MP;6.67;5.160mAh;3.599.000;10rb+;14,8rb;4.9;13,5rb;1,1rb;149;41;57;1132
3;Xiaomi;POCO ;Xiaomi-POCO-X3-Pro-ExtraRamMemori;8gb;256gb;MIUI 12 ;Snapdragon 860;Kyro 485 2,96Ghz;Adreno 640;48 + 8 + 2 + 2 MP;20 MP;6.67;5.160mAh;4.099.000;10rb+;12,1rb;4.9;11,1rb;767;119;27;63;0
4;Xiaomi;POCO ;Xiaomi-POCO-X3-GT-ExtraMemori;8gb;256gb;MIUI 12.5;MediaTek;Cortex-A78 2,6Ghz;Mali-G77 MC9;64 + 8 + 2 + 2 MP;16 MP;6,6;5.000mAh;4.699.000;3,4rb;2rb;4.7;1,8rb;132;51;22;59;676
5;Xiaomi;POCO;Xiaomi-POCO-X3-GT;8gb;128gb;MIUI 12.5;MediaTek;Cortex-A78 2,6Ghz;Mali-G77 MC9;64 + 8 + 2 + 2 MP;16 MP;6,6;5.000mAh;4.299.000;2,7rb;1,6rb;4.8;1,4rb;131;37;12;30;0
6;Xiaomi;POCO ;Xiaomi-POCO-F3-5G-ExtraRamMemori;8gb;256gb;MIUI 12 ;Snapdragon 870;Kyro 585 3,26Ghz;Adreno 650 ;48 + 8 + 5 + 2 MP;20 MP;6.67;4.520mAh;5.599.000;4,3rb;2,7rb;4.9;2,5rb;134;21;7;5;0
7;Xiaomi;POCO ;Xiaomi-POCO-F3-5G;6gb;128gb;MIUI 12 ;Snapdragon 870;Kyro 585 3,26Ghz;Adreno 650 ;48 + 8 + 5 + 2 MP;20 MP;6.67;4.520mAh;5.099.000;996;661;4.9;602;44;9;0;6;0
8;Xiaomi;POCO ;Xiaomi-POCO-M3-Pro-5G;4gb;64gb;MIUI 12 ;Snapdragon 662;Cortex-A76 2,2Ghz;Mali-G57 MC2;48 + 2 + 2 MP;8 MP;6,53;5.000mAh;2.649.000;1,4rb;806;4.9;740;53;7;4;2;71
9;Xiaomi;Mi;Xiaomi-Mi-11-Lite;6gb;64gb;MIUI 12 ;Snapdragon 732G;Kyro 470 2,3Ghz;Adreno 618;64 + 8 + 5 MP;16 MP;6,55;4.250mAh;3.599.000;2,1rb;1,2rb;4.9;1,1rb;87;11;3;7;1149
;;;;;;;;;;;;;;3.599.000;1,3rb;733;4.9;684;41;7;0;1;0
